//////////// EXTRASUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
 96 150 184 30 166 217 255 255 255 0 0 116 0 102 255 47 187 196 5 0 0 1 1 0.3 200 100 0 400 100 1 35 9 10 26 30 36 43 48 54 240 22 192 192 192 127 192 192 192 0 0 0
//5AM
 128 153 186 93 153 199 255 255 255 0 0 100 23 126 251 83 252 252 255 128 0 0 1 0.2 150 100 0 400 100 1 35 9 10 27 30 36 45 45 45 240 22 130 94 81 127 128 115 83 0 90 0
//6AM
 160 209 254 53 123 239 255 255 255 90 205 255 200 144 85 255 242 230 255 128 0 8.4 1 0.3 140 93 0 800 100 0.8 113 115 113 106 105 102 56 30 3 240 23 86 86 86 127 149 94 0 71 71 0
//7AM
 166 212 255 42 119 250 255 255 255 84 101 84 132 146 124 237 164 95 255 255 255 2.2 1 0.3 100 50 75 800 100 0.5 119 120 120 105 105 105 10 6 2 240 22 133 106 70 127 96 61 15 25 180 0
//Midday
 138 167 255 255 216 117 255 255 255 86 86 184 155 215 255 255 255 255 255 255 255 1.1 1 0 236 0 190 800 10 0 119 120 120 105 105 105 7 22 23 240 90 66 66 48 127 166 129 60 25 180 0
//7PM
 166 224 255 255 255 0 255 255 255 84 101 84 132 146 124 222 88 0 122 55 0 3.9 1 0 110 40 75 800 10 0.8 119 120 120 105 105 105 15 15 15 240 10 124 124 107 127 86 50 10 25 180 0
//8PM
 166 224 255 255 255 0 255 255 255 43 43 255 255 140 140 255 128 0 255 128 0 2 1 0.4 100 60 0 800 10 1 119 120 120 105 105 105 28 28 28 240 20 81 85 40 127 66 27 0 25 140 0
//10PM
 96 150 184 30 166 217 255 255 255 0 0 116 0 102 255 255 128 0 5 8 0 1 1 0.3 160 100 0 600 10 1 35 9 10 26 30 36 43 48 54 240 10 209 143 84 127 76 51 0 25 90 0
//
//////////// SUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
155 179 88	144 148 180	255 255 255	0 0 0	0 0 0	0 0 0	5 0 0	1 0.4 0.4 200 100 0 800 100 1	0 0 0	0 0 0	82 71 69 240	127 192 192 192	127 192 192 192	55 220 0 0
//5AM
141 163 182	144 148 180	255 255 255	0 0 0	42 42 42	255 128 0	255 128 0	0 0.3 0.8 150 100 0 800 100 1	0 0 0	14 15 18	82 71 69 240	127 130 94 81	127 131 131 131	90 220 0 0
//6AM
141 159 152	247 218 108	255 255 255	90 205 255	200 144 85	255 128 0	255 128 0	1.2 0.5 0.2 140 93 0 800 100 0.8	100 34 25	120 92 88	168 154 132 240	127 86 86 86	127 131 131 131	177 220 0 0
//7AM
255 227 166	250 136 42	255 255 255	56 96 199	111 148 170	215 119 102	221 164 57	2.2 1 0 211 0 149 800 100 0.5	0 0 0	159 142 106	101 160 214 240	127 68 61 32	127 174 137 74	177 220 0 0
//Midday
121 199 191	240 237 209	255 255 255	56 96 199	111 148 170	215 119 102	221 164 57	1.1 1 0 236 0 190 800 10 0	44 34 23	125 167 185	101 160 214 240	36 68 61 32	127 170 134 72	88 220 0 0
//7PM
255 227 166	250 136 42	255 255 255	56 96 199	111 148 170	215 119 102	221 164 57	7.5 1 0 110 40 75 800 100 0.8	120 40 40	155 155 155	101 160 214 240	26 90 111 152	127 114 92 54	88 220 0 0
//8PM
255 227 166	250 136 42	255 255 255	181 150 84	167 118 65	255 128 0	255 128 0	2 1 0.2 100 60 0 800 43 1	0 0 0	163 83 63	67 67 67 240	127 129 93 71	127 66 27 0	177 220 0 0
//10PM
142 159 180	145 148 180	255 255 255	172 143 88	167 118 65	255 128 0	5 8 0	1 0.4 0.4 160 100 0 800 41 1	70 27 10	55 55 55	67 67 62 240	127 129 0 0	127 131 131 131	111 60 0 0
//
//////////// EXTRASUNNY_SMOG_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
30 183 217	30 183 217	255 255 255	19 14 19	6 6 17	0 0 0	5 0 0	1 0.3 0.9 200 102 0 800 100 1	30 20 0	3 3 3	85 85 65 240	127 192 192 192	127 214 187 169	25 80 0 0
//5AM
